symbol,timestamp,open,high,low,close,volume,last_updated
BNBUSDT,2026-06-26T09:59:59.999000+00:00,568.58000000,568.68000000,563.43000000,564.21000000,8875.51600000,2026-08-04T23:16:05.029343+00:00
BNBUSDT,2026-06-26T10:59:59.999000+00:00,564.21000000,566.49000000,563.03000000,564.17000000,9495.74000000,2026-08-04T23:16:05.029383+00:00
BNBUSDT,2026-06-26T11:59:59.999000+00:00,564.16000000,565.64000000,558.82000000,558.99000000,11503.36800000,2026-08-04T23:16:05.029423+00:00
BNBUSDT,2026-06-26T12:59:59.999000+00:00,558.99000000,561.41000000,554.36000000,556.27000000,18016.88100000,2026-08-04T23:16:05.029463+00:00
BNBUSDT,2026-06-26T13:59:59.999000+00:00,556.27000000,564.21000000,551.92000000,563.88000000,11062.19600000,2026-08-04T23:16:05.029503+00:00
BNBUSDT,2026-06-26T14:59:59.999000+00:00,563.90000000,564.90000000,559.15000000,559.80000000,12443.80500000,2026-08-04T23:16:05.029544+00:00
BNBUSDT,2026-06-26T15:59:59.999000+00:00,559.81000000,567.20000000,559.60000000,565.28000000,9102.19200000,2026-08-04T23:16:05.029584+00:00
BNBUSDT,2026-06-26T16:59:59.999000+00:00,565.28000000,568.98000000,562.77000000,566.83000000,9004.92100000,2026-08-04T23:16:05.029624+00:00
BNBUSDT,2026-06-26T17:59:59.999000+00:00,566.83000000,568.32000000,566.21000000,567.45000000,4057.05500000,2026-08-04T23:16:05.029665+00:00
BNBUSDT,2026-06-26T18:59:59.999000+00:00,567.45000000,568.57000000,564.80000000,565.30000000,3331.00100000,2026-08-04T23:16:05.029705+00:00
BNBUSDT,2026-06-26T19:59:59.999000+00:00,565.30000000,568.68000000,564.85000000,565.82000000,3773.22400000,2026-08-04T23:16:05.029777+00:00
BNBUSDT,2026-06-26T20:59:59.999000+00:00,565.85000000,568.59000000,564.63000000,565.05000000,2871.73300000,2026-08-04T23:16:05.029820+00:00
BNBUSDT,2026-06-26T21:59:59.999000+00:00,565.06000000,568.26000000,564.46000000,568.00000000,2166.12700000,2026-08-04T23:16:05.029862+00:00
BNBUSDT,2026-06-26T22:59:59.999000+00:00,568.01000000,568.50000000,565.72000000,568.23000000,2153.75900000,2026-08-04T23:16:05.029904+00:00
BNBUSDT,2026-06-26T23:59:59.999000+00:00,568.23000000,568.68000000,567.12000000,567.64000000,1497.36700000,2026-08-04T23:16:05.029947+00:00
BNBUSDT,2026-06-27T00:59:59.999000+00:00,567.65000000,568.66000000,565.80000000,567.72000000,1909.33700000,2026-08-04T23:16:05.029990+00:00
BNBUSDT,2026-06-27T01:59:59.999000+00:00,567.72000000,567.75000000,565.62000000,565.76000000,1666.71900000,2026-08-04T23:16:05.030032+00:00
BNBUSDT,2026-06-27T02:59:59.999000+00:00,565.75000000,568.44000000,565.23000000,567.88000000,4020.27400000,2026-08-04T23:16:05.030074+00:00
BNBUSDT,2026-06-27T03:59:59.999000+00:00,567.87000000,568.12000000,566.04000000,566.96000000,3071.85800000,2026-08-04T23:16:05.030116+00:00
BNBUSDT,2026-06-27T04:59:59.999000+00:00,566.96000000,567.95000000,564.34000000,564.54000000,3183.32600000,2026-08-04T23:16:05.030158+00:00
BNBUSDT,2026-06-27T05:59:59.999000+00:00,564.54000000,566.34000000,563.93000000,565.46000000,6619.12800000,2026-08-04T23:16:05.030200+00:00
BNBUSDT,2026-06-27T06:59:59.999000+00:00,565.45000000,566.70000000,564.41000000,565.43000000,2889.80300000,2026-08-04T23:16:05.030242+00:00
BNBUSDT,2026-06-27T07:59:59.999000+00:00,565.43000000,565.78000000,564.93000000,565.53000000,3093.82600000,2026-08-04T23:16:05.030283+00:00
BNBUSDT,2026-06-27T08:59:59.999000+00:00,565.53000000,565.72000000,564.30000000,565.41000000,4964.33000000,2026-08-04T23:16:05.030325+00:00
BNBUSDT,2026-06-27T09:59:59.999000+00:00,565.40000000,565.69000000,564.17000000,564.63000000,2268.18800000,2026-08-04T23:16:05.030367+00:00
BNBUSDT,2026-06-27T10:59:59.999000+00:00,564.62000000,564.77000000,563.63000000,564.64000000,3828.93100000,2026-08-04T23:16:05.030409+00:00
BNBUSDT,2026-06-27T11:59:59.999000+00:00,564.64000000,564.69000000,562.53000000,563.16000000,2146.58600000,2026-08-04T23:16:05.030451+00:00
BNBUSDT,2026-06-27T12:59:59.999000+00:00,563.16000000,564.67000000,562.47000000,564.30000000,1869.39800000,2026-08-04T23:16:05.030493+00:00
BNBUSDT,2026-06-27T13:59:59.999000+00:00,564.29000000,565.49000000,563.68000000,564.18000000,3913.19800000,2026-08-04T23:16:05.030535+00:00
BNBUSDT,2026-06-27T14:59:59.999000+00:00,564.18000000,565.29000000,563.18000000,564.50000000,3631.45600000,2026-08-04T23:16:05.030577+00:00
BNBUSDT,2026-06-27T15:59:59.999000+00:00,564.50000000,567.04000000,564.22000000,565.46000000,5628.72900000,2026-08-04T23:16:05.030619+00:00
BNBUSDT,2026-06-27T16:59:59.999000+00:00,565.47000000,566.60000000,565.00000000,566.51000000,2922.63900000,2026-08-04T23:16:05.030665+00:00
BNBUSDT,2026-06-27T17:59:59.999000+00:00,566.50000000,566.76000000,563.29000000,563.30000000,3819.05900000,2026-08-04T23:16:05.030904+00:00
BNBUSDT,2026-06-27T18:59:59.999000+00:00,563.30000000,563.51000000,561.80000000,562.24000000,2163.07400000,2026-08-04T23:16:05.030986+00:00
BNBUSDT,2026-06-27T19:59:59.999000+00:00,562.24000000,562.90000000,557.95000000,559.12000000,3238.30100000,2026-08-04T23:16:05.031046+00:00
BNBUSDT,2026-06-27T20:59:59.999000+00:00,559.11000000,559.99000000,559.03000000,559.73000000,2017.97100000,2026-08-04T23:16:05.031100+00:00
BNBUSDT,2026-06-27T21:59:59.999000+00:00,559.75000000,563.28000000,556.25000000,557.41000000,5795.87000000,2026-08-04T23:16:05.031153+00:00
BNBUSDT,2026-06-27T22:59:59.999000+00:00,557.40000000,559.07000000,554.53000000,559.00000000,5627.36100000,2026-08-04T23:16:05.031202+00:00
BNBUSDT,2026-06-27T23:59:59.999000+00:00,558.99000000,559.12000000,556.98000000,557.20000000,1122.54800000,2026-08-04T23:16:05.031249+00:00
